source,firm,title,min_years,position_levels,employment_types,desc_excerpt,is_grad,is_internship,job_family,note
hand,National University of Singapore,"Executive, Graduate Studies' Office, School of Computing",1,Executive,Full Time,administers the graduate studies programme,0,0,other,"'graduate' is the subject matter, not the seniority"
hand,ByteDance,Backend Engineer Graduate (ShortText Recommendation) - 2026 Start,0,Professional,Full Time,,1,0,software_engineering,"tagged Professional, not Fresh/entry - level filters miss it"
hand,Merck,"Associate, GOglobal Graduate Program - Data & AI",1,Junior Executive,Permanent,,1,0,data_science,genuine grad programme tagged 1 year
hand,Leonteq Securities,"Graduate, Trading",1,Fresh/entry level,Contract,,1,0,quant_trading,grad programme tagged 1 year
hand,Asahi Global Procurement,Go Graduate Finance,3,Professional,Full Time,,0,0,finance_accounting,"graduate in title, three years demanded"
hand,CTES Consulting,"Assistant Manager, Academic (Graduate Programmes) - 3340",5,Middle Management,Full Time,,0,0,general_management,"five years, and 'graduate' is the subject matter"
hand,Charles & Keith,MANAGEMENT ASSOCIATE (TRAINEE MANAGER),0,Fresh/entry level,Full Time,,1,0,general_management,real programme whose title contains 'Manager'
hand,Shinhan Bank,Risk Management Associate/Assistant Manager,1,Executive,Full Time,,0,0,risk_compliance,'Management Associate' only as a substring of 'Risk Management'
hand,MORE YOGURT PREMIUM,MANAGEMENT ASSOCIATE,2,Senior Management,Full Time,,0,0,general_management,two structured signals contradict the programme title
hand,Ola Party,#2 Ola Trainee - AI Product Manager (Fresh Grads only),0,Fresh/entry level,Full Time,,1,0,product_management,"says fresh grads outright, loses to the word Manager"
hand,Deloitte Singapore Assurance,Amplify Program Audit & Assurance Graduate Intern,0,Fresh/entry level,Full Time,,1,1,risk_compliance,internship must be flagged even on a graduate-titled row
hand,Barclays,Research Analyst Summer Internship Programme 2027 Singapore,0,Fresh/entry level,Internship/Attachment,,1,1,investment,internship detected from employmentTypes as well as title
hand,Squarepoint Capital,Junior Quant Researcher,1,Non-executive,Full Time,,1,0,quant_research,"weak title marker, uncontradicted by experience"
hand,ams-OSRAM,"Senior Engineer/ Engineer, RD Packaging & Module Engineering",0,Professional,Full Time,,1,0,engineering,"dual-rung posting, junior half open at zero years"
hand,Recruit Express,Senior Data Analyst #ESY,2,Senior Executive,Full Time,,0,0,data_analyst,"no junior rung, no rescue"
hand,Google Asia Pacific,"Software Engineer, Safe Coding Team - Singapore",1,Professional,Full Time,,0,0,software_engineering,"target firm, but the posting claims nothing about graduates"
hand,Jane Street,Software Engineer,,,,,0,0,software_engineering,ATS row with no structured field and no grad wording
hand,Nanyang Technological University,Research Fellow (Power Grids and Markets),0,Professional,Contract,phd graduate,0,0,other,"postdoc, not a graduate hire"
hand,Xiaomi Technologies,Computer Software Engineer (Fresh Graduate),0,Fresh/entry level,Full Time,,1,0,software_engineering,"plain positive, guards against over-tightening"
hand,Infineon Technologies Asia Pacific,International Graduate Program (IGP) - Technical Marketing Engineer,0,Fresh/entry level,Permanent,,1,0,sales_marketing,named programme at a semiconductor MNC
mcf,HELIUS TECHNOLOGIES PTE. LTD.,BUSINESS ANALYST,3,Executive,Full Time,"we are seeking an experienced business analyst – corporate actions to support and enhance corporate actions applications within a banking environment. the ideal candidate will possess strong domain expertise in corporate actions processing, hands-on experience in system testing, and the ability to collaborate effectively with business users, operations teams, and technology stakeholders. key responsibilities 1. corporate actions domain & bau support act as the subject matter expert (sme) for corporate actions applications within the assigned business domain. maintain in-depth knowledge of application architecture, system interfaces, data flows, and business processes. provide day-to-day production and bau support by responding to business queries and resolving functional issues. business analysis, testing & project delivery gather, analyze, and document business requirements for system enhancements and regulatory initiatives. work closely with technology, operations, and business stakeholders to deliver functional solutions. define testing strategies, test scenarios, and acceptance criteria. lead system integration testing (sit), user acceptance testing (uat), and regression testing activities. documentation & governance prepare and maintain comprehensive business requirement documents, functional specifications, solution designs, process flows, and testing documentation. ensure documentation complies with organizational governance standards and audit requirements. stakeholder management collaborate with business, operations, technology, and external vendors to deliver high-quality solutions. facilitate requirement workshops, walkthroughs, and solution discussions. required skills & experience bachelor's degree in business, information technology, computer science, finance, or a related discipline. 3+ years of experience as a business analyst within banking or financial services. strong functional knowledge of corporate actions , covering both mandatory and voluntary events . hands-on experience supporting corporate actions operations and related applications. thanks, and best regards karanam vijaya kiran (ea registration no: r1443178) hp: +65 92333815 recruitment manager helius technologies pte ltd (ea licence no: 11c3373) https://www.linkedin.com/in/vijay-karanam-68462131/",0,0,business_analyst,reviewed:veto:3-years-required
